sex_age,sex,age
1,NA,NA
2,NA,NA
3,male,0_17
4,male,0_17
5,male,0_17
6,male,0_17
7,male,18_24
8,male,18_24
9,male,18_24
10,male,18_24
11,male,25_29
12,male,30_34
13,male,35_39
14,male,40_44
15,male,45_49
16,male,50_54
17,male,55_59
18,male,60_64
19,male,60_64
20,male,65_69
21,male,65_69
22,male,70_74
23,male,75_79
24,male,80_plus
25,male,80_plus
26,NA,NA
27,female,0_17
28,female,0_17
29,female,0_17
30,female,0_17
31,female,18_24
32,female,18_24
33,female,18_24
34,female,18_24
35,female,25_29
36,female,30_34
37,female,35_39
38,female,40_44
39,female,45_49
40,female,50_54
41,female,55_59
42,female,60_64
43,female,60_64
44,female,65_69
45,female,65_69
46,female,70_74
47,female,75_79
48,female,80_plus
49,female,80_plus
